election_name,notice_date,election_day,seats,candidate_count,registered_voters,note
沖縄県八重瀬町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,3,25384.0,任期満了
沖縄県名護市議会議員補欠選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,2,2,51496.0,辞職/有権者数については選挙人名簿登録者数が表示されています
沖縄県名護市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,3,50889.0,任期満了
熊本県球磨村議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,8,9,2289.0,解散
熊本県球磨村長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,3,2289.0,辞職
神奈川県秦野市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,3,132779.0,任期満了
福岡県久留米市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,245816.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
福岡県築上町議会議員補欠選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,3,4,20959.0,その他
福岡県築上町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,5,13796.0,任期満了
福島県伊達市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,48031.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
福島県喜多方市議会議員補欠選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,36736.0,辞職/有権者数については選挙人名簿登録者数が表示されています
福島県喜多方市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,3,36538.0,任期満了
長崎県松浦市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,2,16867.0,任期満了
青森県南部町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,14157.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
香川県三豊市議会議員選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,20,29,50204.0,任期満了
香川県三豊市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,50525.0,任期満了/有権者数については選挙人名簿登録者数が表示されています。
高知県中土佐町議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,12,13,5070.0,任期満了
高知県中土佐町長選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,1,1,5086.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
高知県仁淀川町議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,10,12,3889.0,任期満了
高知県東洋町議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,8,9,1798.0,任期満了
高知県香南市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,27161.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
鹿児島県伊仙町議会議員選挙,2026-01-20 00:00:00,2026-01-25 00:00:00,14,15,4926.0,任期満了
鹿児島県指宿市議会議員選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,16,20,30910.0,任期満了
鹿児島県指宿市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,1,31122.0,任期満了/有権者数については選挙人名簿登録者数が表示されています。
鹿児島県鹿屋市長選挙,2026-01-18 00:00:00,2026-01-25 00:00:00,1,4,78872.0,任期満了
千葉県大多喜町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,6880.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
千葉県長南町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,6226.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岡山県里庄町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,8862.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岩手県二戸市長選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,3,20698.0,任期満了
岩手県岩泉町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,2,6821.0,任期満了
徳島県勝浦町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,3974.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
徳島県北島町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,19402.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
福島県南相馬市長選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,2,48026.0,任期満了
群馬県草津町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,2,4796.0,任期満了
長野県喬木村議会議員補欠選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,2,4836.0,その他
長野県喬木村長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,1,4871.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
長野県安曇野市長選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,1,80843.0,逝去/有権者数については選挙人名簿登録者数が表示されています
長野県高森町長選挙,2026-01-13 00:00:00,2026-01-18 00:00:00,1,2,10264.0,任期満了
高知県土佐清水市議会議員補欠選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,2,3,,辞職
高知県土佐清水市長選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,1,10243.0,辞職/有権者数については選挙人名簿登録者数が表示されています
高知県議会議員補欠選挙,2026-01-09 00:00:00,2026-01-18 00:00:00,1,2,10190.0,辞職/土佐清水市選挙区
鹿児島県枕崎市議会議員補欠選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,2,15644.0,その他
鹿児島県枕崎市長選挙,2026-01-11 00:00:00,2026-01-18 00:00:00,1,2,15644.0,任期満了
北海道和寒町議会議員補欠選挙,2026-01-12 00:00:00,2026-01-17 00:00:00,2,2,2448.0,その他/有権者数については選挙人名簿登録者数が表示されています
北海道和寒町長選挙,2026-01-12 00:00:00,2026-01-17 00:00:00,1,2,2434.0,任期満了
群馬県前橋市議会議員補欠選挙,2026-01-05 00:00:00,2026-01-12 00:00:00,1,4,270839.0,その他
群馬県前橋市長選挙,2026-01-05 00:00:00,2026-01-12 00:00:00,1,5,270839.0,辞職
香川県土庄町長選挙,2025-12-23 00:00:00,2025-12-28 00:00:00,1,2,10624.0,任期満了
北海道比布町長選挙,2025-12-16 00:00:00,2025-12-21 00:00:00,1,2,2888.0,任期満了
千葉県旭市議会議員選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,20,23,51128.0,任期満了
山梨県富士川町長選挙,2025-12-16 00:00:00,2025-12-21 00:00:00,1,2,11755.0,任期満了
広島県竹原市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,2,19390.0,任期満了
新潟県関川村長選挙,2025-12-16 00:00:00,2025-12-21 00:00:00,1,1,4100.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
沖縄県南城市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,2,36672.0,失職
福島県相馬市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,1,27239.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
茨城県龍ケ崎市議会議員補欠選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,2,61922.0,辞職
茨城県龍ケ崎市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,2,61922.0,任期満了
長野県麻績村長選挙,2025-12-16 00:00:00,2025-12-21 00:00:00,1,1,2084.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
青森県平川市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,2,24931.0,任期満了
静岡県富士市議会議員補欠選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,2,5,202662.0,辞職
静岡県富士市長選挙,2025-12-14 00:00:00,2025-12-21 00:00:00,1,4,202662.0,任期満了
東京都東久留米市議会議員補欠選挙,2025-12-07 00:00:00,2025-12-14 00:00:00,2,3,96151.0,辞職/逝去
東京都東久留米市長選挙,2025-12-07 00:00:00,2025-12-14 00:00:00,1,2,96151.0,任期満了
福岡県太宰府市議会議員選挙,2025-12-07 00:00:00,2025-12-14 00:00:00,18,25,58378.0,"任期満了/こちらの選挙ページは、皆様に正確な開票結果をお届けできるよう、情報の集計・作成を進めております。
準備が整い次第、随時新しい情報を追加してまいりますので、しばらくお待ちください。"
福岡県太宰府市長選挙,2025-12-07 00:00:00,2025-12-14 00:00:00,1,3,58378.0,任期満了
青森県階上町長選挙,2025-12-09 00:00:00,2025-12-14 00:00:00,1,4,10795.0,任期満了
静岡県伊東市長選挙,2025-12-07 00:00:00,2025-12-14 00:00:00,1,9,56348.0,失職
高知県三原村長選挙,2025-12-09 00:00:00,2025-12-14 00:00:00,1,2,1212.0,任期満了
鹿児島県錦江町長選挙,2025-12-09 00:00:00,2025-12-14 00:00:00,1,1,5272.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
山口県柳井市議会議員選挙,2025-11-30 00:00:00,2025-12-07 00:00:00,16,24,24865.0,任期満了
高知県梼原町議会議員補欠選挙,2025-12-02 00:00:00,2025-12-07 00:00:00,1,1,2628.0,辞職/有権者数については選挙人名簿登録者数が表示されています
高知県梼原町長選挙,2025-12-02 00:00:00,2025-12-07 00:00:00,1,2,2614.0,任期満了
鹿児島県知名町長選挙,2025-12-02 00:00:00,2025-12-07 00:00:00,1,2,4364.0,任期満了
北海道上ノ国町議会議員補欠選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,2,2,9070.0,辞職/逝去/有権者数については選挙人名簿登録者数が表示されています
北海道浦河町議会議員補欠選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,2,2,9305.0,逝去/有権者数については選挙人名簿登録者数が表示されています
北海道浦河町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,9305.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
千葉県いすみ市長選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,3,29918.0,任期満了
千葉県芝山町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,2,5513.0,任期満了
千葉県酒々井町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,4,16768.0,任期満了
埼玉県上尾市議会議員補欠選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,2,191552.0,辞職
埼玉県上尾市長選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,3,191552.0,任期満了
埼玉県議会議員補欠選挙,2025-11-21 00:00:00,2025-11-30 00:00:00,2,5,281875.0,辞職/逝去/東第8区
宮城県松島町議会議員選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,14,15,11217.0,任期満了
新潟県湯沢町議会議員補欠選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,6621.0,逝去/有権者数については選挙人名簿登録者数が表示されています
新潟県湯沢町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,6621.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
新潟県見附市長選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,1,32393.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
福島県二本松市議会議員補欠選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,1,43038.0,その他/有権者数については選挙人名簿登録者数が表示されています
福島県二本松市長選挙,2025-11-23 00:00:00,2025-11-30 00:00:00,1,3,42764.0,任期満了
青森県鰺ヶ沢町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,7579.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
静岡県松崎町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,5050.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
高知県本山町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,2,2689.0,任期満了
鳥取県岩美町議会議員補欠選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,9070.0,逝去/有権者数については選挙人名簿登録者数が表示されています
鳥取県岩美町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,1,9070.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
鹿児島県大崎町長選挙,2025-11-25 00:00:00,2025-11-30 00:00:00,1,4,9621.0,任期満了
鹿児島県議会議員補欠選挙,2025-11-21 00:00:00,2025-11-30 00:00:00,1,2,32705.0,辞職
北海道剣淵町議会議員選挙,2025-11-18 00:00:00,2025-11-23 00:00:00,8,7,2409.0,任期満了/立候補者数が定数に満たないため定員割れとなりました/有権者数については選挙人名簿登録者数が表示されています
北海道剣淵町長選挙,2025-11-18 00:00:00,2025-11-23 00:00:00,1,2,2395.0,任期満了
徳島県鳴門市議会議員選挙,2025-11-16 00:00:00,2025-11-23 00:00:00,20,29,45595.0,任期満了
徳島県鳴門市長選挙,2025-11-16 00:00:00,2025-11-23 00:00:00,1,2,45595.0,任期満了
福島県広野町長選挙,2025-11-18 00:00:00,2025-11-23 00:00:00,1,2,3788.0,任期満了
三重県いなべ市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,18,25,35405.0,任期満了
三重県御浜町議会議員選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,10,10,6758.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
京都府京丹波町議会議員選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,13,14,10705.0,任期満了
京都府京丹波町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,10789.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
佐賀県鳥栖市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,22,26,59130.0,任期満了
兵庫県神河町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,8664.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
北海道恵庭市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,59175.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
和歌山県紀の川市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,20,30,49794.0,任期満了
奈良県五條市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,12,16,23036.0,任期満了
宮崎県日之影町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,2964.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
富山県射水市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,20,30,73137.0,任期満了
富山県射水市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,73744.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
山形県真室川町議会議員補欠選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,2,5605.0,辞職
山形県真室川町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,2,5605.0,任期満了
山梨県都留市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,2,23936.0,任期満了
徳島県阿南市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,26,31,57211.0,任期満了
愛知県みよし市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,48516.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
沖縄県北谷町議会議員補欠選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,3,21811.0,辞職
沖縄県北谷町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,2,21811.0,任期満了
沖縄県糸満市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,21,28,47674.0,任期満了
熊本県産山村長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,2,1093.0,任期満了
福岡県筑後市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,40032.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
福島県福島市議会議員補欠選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,4,223913.0,辞職
福島県福島市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,3,223913.0,任期満了
長野県木曽町議会議員選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,12,14,8537.0,任期満了
長野県木曽町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,8603.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
静岡県河津町議会議員補欠選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,5545.0,辞職/有権者数については選挙人名簿登録者数が表示されています
静岡県河津町長選挙,2025-11-11 00:00:00,2025-11-16 00:00:00,1,1,5545.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
香川県観音寺市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,18,21,46424.0,任期満了
香川県観音寺市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,3,46424.0,任期満了
鹿児島県南さつま市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,16,19,25932.0,任期満了
鹿児島県南さつま市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,26115.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
鹿児島県奄美市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,1,33580.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
鹿児島県曽於市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,18,21,26756.0,任期満了
鹿児島県霧島市議会議員選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,26,29,100139.0,任期満了
鹿児島県霧島市長選挙,2025-11-09 00:00:00,2025-11-16 00:00:00,1,3,100139.0,任期満了
兵庫県多可町議会議員選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,14,20,15746.0,任期満了
兵庫県多可町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,15855.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
北海道猿払村長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,1986.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
千葉県柏市長選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,1,361699.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
奈良県斑鳩町議会議員補欠選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,23042.0,その他
奈良県斑鳩町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,23240.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
富山県滑川市議会議員選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,15,15,27141.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
山梨県甲州市議会議員選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,17,19,24818.0,"任期満了/こちらの選挙ページは、皆様に正確な開票結果をお届けできるよう、情報の集計・作成を進めております。
準備が整い次第、随時新しい情報を追加してまいりますので、しばらくお待ちください。"
岩手県一戸町議会議員選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,14,14,9237.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岩手県一戸町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,9237.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
岩手県西和賀町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,4109.0,任期満了
広島県呉市議会議員補欠選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,3,169318.0,逝去
広島県呉市長選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,4,169318.0,任期満了
広島県知事選挙,2025-10-23 00:00:00,2025-11-09 00:00:00,1,3,2239410.0,任期満了
広島県議会議員補欠選挙,2025-10-31 00:00:00,2025-11-09 00:00:00,1,3,114881.0,辞職
徳島県藍住町議会議員補欠選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,28637.0,辞職
徳島県藍住町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,28637.0,任期満了
東京都利島村長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,251.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
東京都葛飾区議会議員選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,40,65,378816.0,任期満了
東京都葛飾区長選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,4,378816.0,"任期満了/こちらの選挙ページは、皆様に正確な開票結果をお届けできるよう、情報の集計・作成を進めております。
準備が整い次第、随時新しい情報を追加してまいりますので、しばらくお待ちください。"
栃木県市貝町議会議員補欠選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,9377.0,辞職/有権者数については選挙人名簿登録者数が表示されています
栃木県市貝町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,9283.0,任期満了
沖縄県南城市議会議員選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,20,25,36623.0,解散
福岡県水巻町議会議員補欠選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,2,22719.0,逝去
福岡県水巻町長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,1,23031.0,任期満了/有権者数については選挙人名簿登録者数が表示されています
茨城県神栖市長選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,2,76130.0,任期満了/得票数同票のため、くじ引きで決定しました。2025年11月26日に全ての投票用紙の再点検を行った結果、両候補者の得票数は、2025年11月9日執行の開票結果と同じであり、両候補者の得票数に異動はありませんでした。（神栖市選挙管理委員会の発表より）
鹿児島県いちき串木野市議会議員選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,14,16,21508.0,任期満了
鹿児島県いちき串木野市長選挙,2025-11-02 00:00:00,2025-11-09 00:00:00,1,3,21508.0,任期満了
鹿児島県三島村長選挙,2025-11-04 00:00:00,2025-11-09 00:00:00,1,3,253.0,任期満了
岐阜県美濃市議会議員補欠選挙,2025-10-26 00:00:00,2025-11-02 00:00:00,2,3,15840.0,その他
岐阜県美濃市長選挙,2025-10-26 00:00:00,2025-11-02 00:00:00,1,3,15840.0,辞職
長崎県雲仙市議会議員選挙,2025-10-26 00:00:00,2025-11-02 00:00:00,17,18,33390.0,"任期満了/こちらの選挙ページは、皆様に正確な開票結果をお届けできるよう、情報の集計・作成を進めております。
準備が整い次第、随時新しい情報を追加してまいりますので、しばらくお待ちください。"
北海道寿都町長選挙,2025-10-23 00:00:00,2025-10-28 00:00:00,1,2,2178.0,任期満了
三重県伊勢市議会議員選挙,2025-10-19 00:00:00,2025-10-26 00:00:00,24,33,100007.0,任期満了
三重県伊勢市長選挙,2025-10-19 00:00:00,2025-10-26 00:00:00,1,2,100007.0,任期満了
三重県紀北町議会議員補欠選挙,2025-10-21 00:00:00,2025-10-26 00:00:00,1,3,11797.0,辞職
三重県紀北町長選挙,2025-10-21 00:00:00,2025-10-26 00:00:00,1,3,11797.0,任期満了
兵庫県たつの市長選挙,2025-10-19 00:00:00,2025-10-26 00:00:00,1,2,60030.0,任期満了
兵庫県佐用町長選挙,2025-10-21 00:00:00,2025-10-26 00:00:00,1,3,12612.0,任期満了
兵庫県南あわじ市議会議員選挙,2025-10-19 00:00:00,2025-10-26 00:00:00,18,25,36650.0,任期満了
兵庫県新温泉町議会議員選挙,2025-10-21 00:00:00,2025-10-26 00:00:00,14,15,10903.0,任期満了
兵庫県新温泉町長選挙,2025-10-21 00:00:00,2025-10-26 00:00:00,1,4,10903.0,任期満了
兵庫県朝来市議会議員選挙,2025-10-19 00:00:00,2025-10-26 00:00:00,16,17,23143.0,任期満了
兵庫県神戸市議会議員補欠選挙北選挙区,2025-10-17 00:00:00,2025-10-26 00:00:00,1,3,173466.0,失職/東灘区／北区
