dataset,party,year,prefecture,municipality,seat_count,municipality_count,total_compensation,annual_compensation
summary,ネットワーク横浜,,,,1,1,20013000.0,
summary,大阪維新の会,,,,125,7,1669645230.0,
summary,日本創新党,,,,4,3,48026956.0,
summary,維新の会東大阪,,,,1,1,13860000.0,
summary,高槻維新の会,,,,2,1,27456000.0,
summary,たちあがれ日本,,,,4,2,48129364.0,
summary,日本一愛知の会,,,,2,2,22433290.0,
summary,墨田オンブズマン,,,,3,1,35193600.0,
summary,減税日本,,,,3,3,38816880.0,
summary,渋谷オンブズマン,,,,4,1,48643560.0,
summary,市民の声ねりま,,,,7,1,80934000.0,
summary,日本維新の会,,,,167,58,2066521954.0,
summary,奈良維新の会,,,,4,1,44366240.0,
summary,維新の党,,,,39,26,474055436.0,
summary,NHKから国民を守る党,,,,25,24,302010886.0,
summary,次世代の党,,,,4,4,49518688.0,
summary,大阪維新 ,,,,1,1,15402599.999999998,
summary,日本を元気にする会,,,,3,3,35267410.0,
summary,文京・生活者ネットワーク,,,,1,1,10959870.0,
summary,区民の声を届ける会,,,,1,1,11550600.0,
summary,民進党,,,,12,7,143848060.0,
summary,政策チーム光,,,,2,1,22452000.0,
summary,維新政党・新風,,,,1,1,11992160.0,
summary,立憲民主党,,,,348,67,4142799962.0,
summary,国民民主党,,,,101,47,1184154898.0,
summary,幸福実現党,,,,6,4,68261490.0,
summary,都民ファーストの会,,,,57,22,672841370.0,
summary,あたらしい党,,,,11,7,131065190.0,
summary,育児支援と防災緑地と平らな歩道の中野,,,,1,1,11426600.0,
summary,ガンバル,,,,1,1,12229788.0,
summary,社民党,,,,3,1,33498000.0,
summary,福山維新の会,,,,2,1,26543000.0,
summary,地域政党「越谷市民の会」,,,,1,1,12017500.0,
summary,葛飾に維新を起こす会,,,,1,1,11992160.0,
summary,葛飾・生活者ネットワーク,,,,1,1,11992160.0,
summary,新しい風・にぬふぁぶし,,,,1,1,10782400.0,
summary,東京・生活者ネットワーク,,,,1,1,11550360.0,
summary,参政党,,,,38,38,459763846.0,
summary,れいわ新選組,,,,31,30,370849436.0,
summary,農業党,,,,1,1,12059300.0,
summary,政治家女子48党,,,,1,1,12811700.0,
summary,スーパークレイジー君党,,,,1,1,10849630.0,
summary,育児支援と防災緑地と平らな歩道の中野を創る会,,,,1,1,11426600.0,
summary,緑の党グリーンズジャパン,,,,1,1,11662378.0,
summary,こどもの党,,,,1,1,12109590.0,
summary,つながる市民・練馬,,,,1,1,11562000.0,
summary,次世代あらかわ,,,,1,1,12180600.0,
yearly,NHKから国民を守る党,2015.0,,,1,1,12811700.0,
yearly,NHKから国民を守る党,2019.0,,,24,24,289199186.0,
yearly,あたらしい党,2019.0,,,7,7,83512390.0,
yearly,あたらしい党,2023.0,,,4,4,47552800.0,
yearly,こどもの党,2023.0,,,1,1,12109590.0,
yearly,せたがや政策会議,2007.0,,,2,1,24109800.0,
yearly,たちあがれ日本,2011.0,,,2,2,23669788.0,
yearly,たちあがれ日本,2019.0,,,1,1,12229788.0,
yearly,たちあがれ日本,2023.0,,,1,1,12229788.0,
yearly,つながる市民・練馬,2023.0,,,1,1,11562000.0,
yearly,みんなの党,2009.0,,,1,1,11992160.0,
yearly,みんなの党,2010.0,,,2,2,23212738.0,
yearly,みんなの党,2011.0,,,77,36,931110564.0,
yearly,みんなの党,2013.0,,,3,3,35889270.0,
yearly,みんなの党,2017.0,,,2,2,23896160.0,
yearly,れいわ新選組,2023.0,,,30,29,357577936.0,
yearly,れいわ新選組,2024.0,,,1,1,13271500.0,
yearly,オンブズマンみなと,2007.0,,,1,1,12109590.0,
yearly,オンブズマンみなと,2011.0,,,1,1,12109590.0,
yearly,オンブズマン練馬,2007.0,,,1,1,11562000.0,
yearly,オンブズマン練馬,2011.0,,,1,1,11562000.0,
yearly,オンブズマン練馬,2015.0,,,1,1,11562000.0,
yearly,オンブズマン練馬,2019.0,,,1,1,11562000.0,
yearly,ガンバル,2019.0,,,1,1,12229788.0,
yearly,スーパークレイジー君党,2023.0,,,1,1,10849630.0,
yearly,ネットワーク横浜,2009.0,,,1,1,20013000.0,
yearly,プロジェク：くまもと再生,2003.0,,,3,1,37887750.0,
yearly,世田谷・生活者ネットワーク,1999.0,,,4,1,48219600.0,
yearly,世田谷・生活者ネットワーク,2003.0,,,5,1,60274500.0,
yearly,世田谷・生活者ネットワーク,2007.0,,,4,1,48219600.0,
yearly,世田谷・生活者ネットワーク,2011.0,,,4,1,48219600.0,
yearly,世田谷・生活者ネットワーク,2015.0,,,2,1,24109800.0,
yearly,世田谷・生活者ネットワーク,2019.0,,,3,1,36164700.0,
yearly,世田谷・生活者ネットワーク,2023.0,,,2,1,24109800.0,
yearly,世田谷行革110番,1999.0,,,1,1,12054900.0,
yearly,世田谷行革110番,2003.0,,,1,1,12054900.0,
yearly,世田谷行革110番,2011.0,,,1,1,12054900.0,
yearly,世田谷行革110番,2015.0,,,1,1,12054900.0,
yearly,世田谷行革110番,2019.0,,,1,1,12054900.0,
yearly,世田谷行革110番,2023.0,,,1,1,12054900.0,
yearly,中野・生活者ネットワーク,2007.0,,,1,1,11426600.0,
yearly,中野・生活者ネットワーク,2011.0,,,1,1,11426600.0,
yearly,中野・生活者ネットワーク,2015.0,,,1,1,11426600.0,
yearly,中野・生活者ネットワーク,2023.0,,,1,1,11426600.0,
yearly,保守新党,2003.0,,,2,2,23911800.0,
yearly,元気クラブ,2003.0,,,1,1,12180600.0,
yearly,八王子・生活者ネットワーク,1999.0,,,2,1,25864000.0,
yearly,八王子・生活者ネットワーク,2003.0,,,2,1,25864000.0,
yearly,八王子・生活者ネットワーク,2007.0,,,2,1,25864000.0,
yearly,八王子・生活者ネットワーク,2011.0,,,1,1,12932000.0,
yearly,八王子・生活者ネットワーク,2015.0,,,2,1,25864000.0,
yearly,八王子・生活者ネットワーク,2019.0,,,2,1,25864000.0,
yearly,八王子・生活者ネットワーク,2023.0,,,2,1,25864000.0,
yearly,公明党,1998.0,,,4,1,35340000.0,
yearly,公明党,1999.0,,,250,35,3008988016.0,
yearly,公明党,2000.0,,,11,2,135316980.0,
yearly,公明党,2001.0,,,28,4,322920020.0,
yearly,公明党,2002.0,,,5,1,44175000.0,
yearly,公明党,2003.0,,,391,55,4812083820.0,
yearly,公明党,2004.0,,,13,3,157723420.0,
yearly,公明党,2005.0,,,29,3,338334560.0,
yearly,公明党,2006.0,,,17,3,180113640.0,
yearly,公明党,2007.0,,,405,58,4878783760.0,
yearly,公明党,2008.0,,,20,4,250623920.0,
yearly,公明党,2009.0,,,51,8,593294500.0,
yearly,公明党,2010.0,,,17,3,180113640.0,
yearly,公明党,2011.0,,,433,64,5220376350.0,
yearly,公明党,2012.0,,,21,4,262348220.0,
yearly,公明党,2013.0,,,59,9,686170940.0,
yearly,公明党,2014.0,,,17,3,180113640.0,
yearly,公明党,2015.0,,,434,65,5226052600.0,
yearly,公明党,2016.0,,,19,4,235805220.0,
yearly,公明党,2017.0,,,53,9,619212250.0,
yearly,公明党,2018.0,,,17,3,180113640.0,
yearly,公明党,2019.0,,,422,65,5084068702.0,
yearly,公明党,2020.0,,,20,4,250860280.0,
yearly,公明党,2021.0,,,59,9,685906460.0,
yearly,公明党,2022.0,,,17,3,180113640.0,
yearly,公明党,2023.0,,,406,65,4892359066.0,
yearly,公明党,2024.0,,,21,4,262348220.0,
yearly,公民,2003.0,,,9,1,119443500.0,
yearly,区民の声を届ける会,2015.0,,,1,1,11550600.0,
yearly,参政党,2022.0,,,1,1,10672000.0,
yearly,参政党,2023.0,,,34,34,410834446.0,
yearly,参政党,2024.0,,,3,3,38257400.0,
yearly,反政党・改革派,2003.0,,,1,1,12054900.0,
yearly,吉田区政を守る無党派の会,1999.0,,,1,1,11946700.0,
yearly,品川・生活者ネットワーク,1999.0,,,1,1,11550360.0,
yearly,品川・生活者ネットワーク,2003.0,,,2,1,23100720.0,
yearly,品川・生活者ネットワーク,2007.0,,,2,1,23100720.0,
yearly,品川・生活者ネットワーク,2011.0,,,1,1,11550360.0,
yearly,品川・生活者ネットワーク,2015.0,,,2,1,23100720.0,
yearly,品川・生活者ネットワーク,2019.0,,,2,1,23100720.0,
yearly,品川・生活者ネットワーク,2023.0,,,1,1,11550360.0,
yearly,国民会議,1999.0,,,2,2,23276800.0,
yearly,国民新党,2007.0,,,2,2,22988600.0,
yearly,国民新党,2011.0,,,1,1,10959870.0,
yearly,国民民主党,2018.0,,,1,1,10672000.0,
yearly,国民民主党,2019.0,,,46,26,538674500.0,
yearly,国民民主党,2020.0,,,3,2,37257220.0,
yearly,国民民主党,2021.0,,,3,3,32017250.0,
yearly,国民民主党,2023.0,,,47,34,552767468.0,
yearly,国民民主党,2024.0,,,1,1,12766460.0,
yearly,地域政党「越谷市民の会」,2021.0,,,1,1,12017500.0,
yearly,墨田オンブズマン,2011.0,,,1,1,11731200.0,
yearly,墨田オンブズマン,2015.0,,,1,1,11731200.0,
yearly,墨田オンブズマン,2019.0,,,1,1,11731200.0,
yearly,大田・生活者ネットワーク,1999.0,,,2,1,24459576.0,
yearly,大田・生活者ネットワーク,2003.0,,,2,1,24459576.0,
yearly,大田・生活者ネットワーク,2011.0,,,2,1,24459576.0,
yearly,大田・生活者ネットワーク,2015.0,,,1,1,12229788.0,
yearly,大田・生活者ネットワーク,2019.0,,,1,1,12229788.0,
yearly,大阪維新 ,2015.0,,,1,1,15402599.999999998,
yearly,大阪維新の会,2010.0,,,1,1,15402599.999999998,
yearly,大阪維新の会,2015.0,,,25,6,335980210.0,
yearly,大阪維新の会,2018.0,,,2,1,26543000.0,
yearly,大阪維新の会,2019.0,,,41,6,544575110.0,
yearly,大阪維新の会,2020.0,,,1,1,15402599.999999998,
yearly,大阪維新の会,2022.0,,,1,1,13271500.0,
yearly,大阪維新の会,2023.0,,,54,6,718470210.0,
yearly,奈良維新の会,2013.0,,,2,1,22183120.0,
yearly,奈良維新の会,2017.0,,,2,1,22183120.0,
yearly,市民の声ねりま,2011.0,,,1,1,11562000.0,
yearly,市民の声ねりま,2015.0,,,2,1,23124000.0,
yearly,市民の声ねりま,2018.0,,,1,1,11562000.0,
yearly,市民の声ねりま,2019.0,,,3,1,34686000.0,
yearly,市民ネットワーク,2003.0,,,3,2,36930300.0,
yearly,市民ネットワークちば,2001.0,,,1,1,16092999.999999998,
yearly,市民ネットワークちば,2021.0,,,1,1,16092999.999999998,
yearly,市民ネットワーク・かしわ,1999.0,,,2,1,24118600.0,
yearly,市民ネットワーク・かしわ,2015.0,,,1,1,12059300.0,
yearly,市民ネットワーク・かしわ,2019.0,,,1,1,12059300.0,
yearly,市民ネットワーク・かしわ,2023.0,,,1,1,12059300.0,
yearly,市民ネットワーク・ふなばし,2007.0,,,1,1,12811700.0,
yearly,市民ネットワーク・ふなばし,2011.0,,,1,1,12811700.0,
yearly,市民ネットワーク・ふなばし,2015.0,,,1,1,12811700.0,
yearly,市民ネットワーク・ふなばし,2019.0,,,1,1,12811700.0,
yearly,市民ネットワーク千葉県,2007.0,,,1,1,12059300.0,
yearly,幸福実現党,2019.0,,,3,3,36845370.0,
yearly,幸福実現党,2021.0,,,1,1,8887250.0,
yearly,幸福実現党,2023.0,,,2,2,22528870.0,
yearly,政党そうぞう,2009.0,,,2,1,21564800.0,
yearly,政党そうぞう,2013.0,,,1,1,10782400.0,
yearly,政党そうぞう,2017.0,,,1,1,10782400.0,
yearly,政治家女子48党,2023.0,,,1,1,12811700.0,
yearly,政策チーム光,2017.0,,,2,1,22452000.0,
yearly,文京・生活者ネットワーク,2015.0,,,1,1,10959870.0,
yearly,新しい風・にぬふぁぶし,2021.0,,,1,1,10782400.0,
yearly,新社会党,1998.0,,,1,1,8835000.0,
yearly,新社会党,1999.0,,,6,6,70072770.0,
yearly,新社会党,2002.0,,,1,1,8835000.0,
yearly,新社会党,2003.0,,,7,6,90180420.0,
yearly,新社会党,2007.0,,,6,6,72987420.0,
yearly,新社会党,2011.0,,,3,3,35165820.0,
yearly,新社会党,2015.0,,,3,3,38258720.0,
yearly,新社会党,2019.0,,,2,2,25737120.0,
yearly,新社会党,2023.0,,,1,1,11877120.0,
yearly,日本を元気にする会,2015.0,,,3,3,35267410.0,
yearly,日本一愛知の会,2011.0,,,1,1,10945350.0,
yearly,日本一愛知の会,2012.0,,,1,1,11487940.0,
yearly,日本共産党,1998.0,,,4,2,40229100.0,
yearly,日本共産党,1999.0,,,197,34,2368319150.0,
yearly,日本共産党,2000.0,,,5,2,59996740.0,
yearly,日本共産党,2001.0,,,20,4,229290060.0,
yearly,日本共産党,2002.0,,,3,2,28931200.0,
yearly,日本共産党,2003.0,,,269,56,3294771802.0,
yearly,日本共産党,2004.0,,,12,5,145461070.0,
yearly,日本共産党,2005.0,,,20,4,231611500.0,
yearly,日本共産党,2006.0,,,12,4,126384350.0,
yearly,日本共産党,2007.0,,,287,58,3448628852.0,
yearly,日本共産党,2008.0,,,15,6,188206300.0,
yearly,日本共産党,2009.0,,,37,8,427077940.0,
yearly,日本共産党,2010.0,,,12,3,125505990.0,
yearly,日本共産党,2011.0,,,277,63,3327624380.0,
yearly,日本共産党,2012.0,,,13,4,161258460.0,
yearly,日本共産党,2013.0,,,41,9,470300000.0,
yearly,日本共産党,2014.0,,,16,8,177485038.0,
yearly,日本共産党,2015.0,,,302,66,3616360760.0,
yearly,日本共産党,2016.0,,,13,4,159979940.0,
yearly,日本共産党,2017.0,,,33,9,381052230.0,
yearly,日本共産党,2018.0,,,15,6,157718020.0,
yearly,日本共産党,2019.0,,,265,65,3159946522.0,
yearly,日本共産党,2020.0,,,11,5,138541360.0,
yearly,日本共産党,2021.0,,,36,10,412650270.0,
yearly,日本共産党,2022.0,,,11,3,113849660.0,
yearly,日本共産党,2023.0,,,229,65,2727767698.0,
yearly,日本共産党,2024.0,,,11,5,133773560.0,
yearly,日本創新党,2011.0,,,4,3,48026956.0,
yearly,日本維新の会,2012.0,,,1,1,15402599.999999998,
yearly,日本維新の会,2013.0,,,7,4,89704160.0,
yearly,日本維新の会,2017.0,,,7,4,84159160.0,
yearly,日本維新の会,2018.0,,,1,1,14358299.999999998,
yearly,日本維新の会,2019.0,,,25,18,317908066.0,
yearly,日本維新の会,2021.0,,,18,6,216030950.0,
yearly,日本維新の会,2022.0,,,4,4,46083360.0,
yearly,日本維新の会,2023.0,,,97,43,1194137548.0,
yearly,日本維新の会,2024.0,,,7,7,88737810.0,
yearly,杉並・生活者ネットワーク,2003.0,,,3,1,34987134.0,
yearly,杉並・生活者ネットワーク,2007.0,,,2,1,23324756.0,
yearly,杉並・生活者ネットワーク,2011.0,,,3,1,34987134.0,
yearly,杉並・生活者ネットワーク,2014.0,,,1,1,11662378.0,
yearly,杉並・生活者ネットワーク,2015.0,,,2,1,23324756.0,
yearly,杉並・生活者ネットワーク,2019.0,,,2,1,23324756.0,
yearly,杉並・生活者ネットワーク,2023.0,,,2,1,23324756.0,
yearly,東京・生活者ネットワーク,2022.0,,,1,1,11550360.0,
yearly,板橋・生活者ネットワーク,1999.0,,,1,1,11580000.0,
yearly,板橋・生活者ネットワーク,2003.0,,,1,1,11580000.0,
yearly,板橋・生活者ネットワーク,2007.0,,,1,1,11580000.0,
yearly,板橋・生活者ネットワーク,2011.0,,,1,1,11580000.0,
yearly,板橋・生活者ネットワーク,2015.0,,,1,1,11580000.0,
yearly,次世代あらかわ,2023.0,,,1,1,12180600.0,
yearly,次世代の党,2015.0,,,4,4,49518688.0,
yearly,民主党,1999.0,,,96,28,1151944574.0,
yearly,民主党,2000.0,,,4,2,49787320.0,
yearly,民主党,2001.0,,,3,2,35977430.0,
yearly,民主党,2002.0,,,1,1,11261200.0,
yearly,民主党,2003.0,,,159,46,1957665802.0,
yearly,民主党,2004.0,,,9,5,109612800.0,
yearly,民主党,2005.0,,,10,5,119567000.0,
yearly,民主党,2006.0,,,3,3,33878690.0,
yearly,民主党,2007.0,,,227,54,2720746972.0,
yearly,民主党,2008.0,,,12,5,146766480.0,
yearly,民主党,2009.0,,,33,14,406288900.0,
yearly,民主党,2010.0,,,9,7,122424560.0,
yearly,民主党,2011.0,,,222,60,2656485316.0,
yearly,民主党,2012.0,,,7,3,84723860.0,
yearly,民主党,2013.0,,,18,7,212152850.0,
yearly,民主党,2014.0,,,4,4,42713690.0,
yearly,民主党,2015.0,,,170,59,2018224304.0,
yearly,民主党,2016.0,,,3,1,38299380.0,
yearly,民主党,2017.0,,,7,4,80757840.0,
yearly,民進党,2016.0,,,4,2,46424480.0,
yearly,民進党,2017.0,,,6,4,74110920.0,
yearly,民進党,2018.0,,,2,1,23312660.0,
yearly,江戸川・生活者ネットワーク,1999.0,,,2,1,23101200.0,
yearly,江戸川・生活者ネットワーク,2003.0,,,2,1,23101200.0,
yearly,江戸川・生活者ネットワーク,2007.0,,,2,1,23101200.0,
yearly,江戸川・生活者ネットワーク,2011.0,,,1,1,11550600.0,
yearly,江戸川・生活者ネットワーク,2015.0,,,2,1,23101200.0,
yearly,江戸川・生活者ネットワーク,2019.0,,,2,1,23101200.0,
yearly,江戸川・生活者ネットワーク,2023.0,,,2,1,23101200.0,
yearly,江東・生活者ネットワーク,2003.0,,,1,1,11968200.0,
yearly,江東・生活者ネットワーク,2007.0,,,1,1,11968200.0,
yearly,江東・生活者ネットワーク,2011.0,,,1,1,11968200.0,
yearly,江東・生活者ネットワーク,2015.0,,,1,1,11968200.0,
yearly,江東・生活者ネットワーク,2019.0,,,1,1,11968200.0,
yearly,沖縄社会大衆党,2001.0,,,3,1,32347200.0,
yearly,沖縄社会大衆党,2004.0,,,2,1,21564800.0,
yearly,沖縄社会大衆党,2005.0,,,2,1,21564800.0,
yearly,沖縄社会大衆党,2009.0,,,1,1,10782400.0,
yearly,沖縄社会大衆党,2013.0,,,2,1,21564800.0,
yearly,沖縄社会大衆党,2017.0,,,2,1,21564800.0,
yearly,沖縄社会大衆党,2021.0,,,2,1,21564800.0,
yearly,渋谷オンブズマン,2011.0,,,1,1,12160890.0,
yearly,渋谷オンブズマン,2015.0,,,1,1,12160890.0,
yearly,渋谷オンブズマン,2019.0,,,1,1,12160890.0,
yearly,渋谷オンブズマン,2023.0,,,1,1,12160890.0,
yearly,減税日本,2011.0,,,2,2,23501580.0,
yearly,減税日本,2015.0,,,1,1,15315300.0,
yearly,無党派市民,2007.0,,,1,1,12054900.0,
yearly,無党派市民,2011.0,,,1,1,12054900.0,
yearly,無所属,1998.0,,,23,2,208094100.0,
yearly,無所属,1999.0,,,432,34,5171909276.0,
yearly,無所属,2000.0,,,41,2,483790740.0,
yearly,無所属,2001.0,,,68,6,760352740.0,
yearly,無所属,2002.0,,,24,1,212040000.0,
yearly,無所属,2003.0,,,834,56,10180455594.0,
yearly,無所属,2004.0,,,55,8,649896640.0,
yearly,無所属,2005.0,,,42,9,489154800.0,
yearly,無所属,2006.0,,,57,5,578047520.0,
yearly,無所属,2007.0,,,759,60,8951001280.0,
yearly,無所属,2008.0,,,84,6,1040416900.0,
yearly,無所属,2009.0,,,145,18,1664291690.0,
yearly,無所属,2010.0,,,57,5,582944220.0,
yearly,無所属,2011.0,,,842,64,10009347104.0,
yearly,無所属,2012.0,,,79,8,983773260.0,
yearly,無所属,2013.0,,,139,12,1594785930.0,
yearly,無所属,2014.0,,,68,8,721129940.0,
yearly,無所属,2015.0,,,825,65,9796049526.0,
yearly,無所属,2016.0,,,62,4,760611960.0,
yearly,無所属,2017.0,,,121,10,1397332090.0,
yearly,無所属,2018.0,,,54,3,554576270.0,
yearly,無所属,2019.0,,,792,65,9369083758.0,
yearly,無所属,2020.0,,,77,8,945442680.0,
yearly,無所属,2021.0,,,154,14,1777981820.0,
yearly,無所属,2022.0,,,60,8,651260840.0,
yearly,無所属,2023.0,,,730,65,8624386234.0,
yearly,無所属,2024.0,,,81,9,996900760.0,
yearly,生活者ネットワーク,2007.0,,,1,1,12229788.0,
yearly,目黒・生活者ネットワーク,1999.0,,,1,1,11261200.0,
yearly,目黒・生活者ネットワーク,2003.0,,,1,1,11261200.0,
yearly,目黒・生活者ネットワーク,2007.0,,,1,1,11261200.0,
yearly,目黒・生活者ネットワーク,2011.0,,,1,1,11261200.0,
yearly,目黒・生活者ネットワーク,2015.0,,,1,1,11261200.0,
yearly,目黒・生活者ネットワーク,2023.0,,,1,1,11261200.0,
yearly,社会民主,2007.0,,,1,1,11562000.0,
yearly,社会民主党,1999.0,,,47,26,551441588.0,
yearly,社会民主党,2000.0,,,6,1,76598760.0,
yearly,社会民主党,2001.0,,,12,3,140395490.0,
yearly,社会民主党,2003.0,,,53,34,625439218.0,
yearly,社会民主党,2004.0,,,9,2,111771660.0,
yearly,社会民主党,2005.0,,,4,2,46494400.0,
yearly,社会民主党,2006.0,,,7,2,75688330.0,
yearly,社会民主党,2007.0,,,60,36,698243976.0,
yearly,社会民主党,2008.0,,,9,3,110829760.0,
yearly,社会民主党,2009.0,,,7,4,79261060.0,
yearly,社会民主党,2010.0,,,5,2,54344330.0,
yearly,社会民主党,2011.0,,,45,28,514557858.0,
yearly,社会民主党,2012.0,,,7,2,87280900.0,
yearly,社会民主党,2013.0,,,12,4,138572750.0,
yearly,社会民主党,2014.0,,,4,2,43672330.0,
yearly,社会民主党,2015.0,,,41,27,471427378.0,
yearly,社会民主党,2016.0,,,6,2,74514440.0,
yearly,社会民主党,2017.0,,,12,4,137805640.0,
yearly,社会民主党,2018.0,,,2,1,21344000.0,
yearly,社会民主党,2019.0,,,29,22,330349430.0,
yearly,社会民主党,2020.0,,,6,2,74514440.0,
yearly,社会民主党,2021.0,,,5,2,58754840.0,
yearly,社会民主党,2022.0,,,1,1,10672000.0,
yearly,社会民主党,2023.0,,,13,12,147951680.0,
yearly,社会民主党,2024.0,,,5,3,59763920.0,
yearly,社民党,2019.0,,,3,1,33498000.0,
yearly,神奈川ネットワーク運動,1999.0,,,1,1,12080200.0,
yearly,神奈川ネットワーク運動,2003.0,,,3,2,37151600.0,
yearly,神奈川ネットワーク運動,2007.0,,,1,1,12080200.0,
yearly,神奈川ネットワーク運動,2015.0,,,1,1,12080200.0,
yearly,神奈川ネットワーク運動,2019.0,,,1,1,12080200.0,
yearly,福山維新の会,2020.0,,,1,1,13271500.0,
yearly,福山維新の会,2024.0,,,1,1,13271500.0,
yearly,福祉かつしかネットワーク,2001.0,,,1,1,11992160.0,
yearly,福祉かつしかネットワーク,2005.0,,,1,1,11992160.0,
yearly,福祉かつしかネットワーク,2009.0,,,1,1,11992160.0,
yearly,立憲民主党,2018.0,,,4,4,46307308.0,
yearly,立憲民主党,2019.0,,,135,51,1610989564.0,
yearly,立憲民主党,2020.0,,,6,4,73504600.0,
yearly,立憲民主党,2021.0,,,15,7,180518410.0,
yearly,立憲民主党,2022.0,,,7,4,78441020.0,
yearly,立憲民主党,2023.0,,,170,53,2018955120.0,
yearly,立憲民主党,2024.0,,,11,6,134083940.0,
yearly,純粋無所属全国ネット,2003.0,,,1,1,11261200.0,
yearly,維新の会東大阪,2011.0,,,1,1,13860000.0,
yearly,維新の党,2015.0,,,39,26,474055436.0,
yearly,維新政党・新風,2017.0,,,1,1,11992160.0,
yearly,緑の党,1999.0,,,1,1,12229788.0,
yearly,緑の党,2003.0,,,2,2,23809788.0,
yearly,緑の党,2007.0,,,1,1,12229788.0,
yearly,緑の党,2011.0,,,1,1,12229788.0,
yearly,緑の党,2015.0,,,1,1,12229788.0,
yearly,緑の党,2019.0,,,1,1,12229788.0,
yearly,緑の党グリーンズジャパン,2023.0,,,1,1,11662378.0,
yearly,練馬・生活者ネットワーク,2007.0,,,3,1,34686000.0,
yearly,練馬・生活者ネットワーク,2011.0,,,3,1,34686000.0,
yearly,練馬・生活者ネットワーク,2014.0,,,1,1,11562000.0,
yearly,練馬・生活者ネットワーク,2015.0,,,3,1,34686000.0,
yearly,練馬・生活者ネットワーク,2019.0,,,2,1,23124000.0,
yearly,練馬・生活者ネットワーク,2023.0,,,2,1,23124000.0,
yearly,育児支援と防災緑地と平らな歩道の中野,2019.0,,,1,1,11426600.0,
yearly,育児支援と防災緑地と平らな歩道の中野を創る会,2023.0,,,1,1,11426600.0,
yearly,自由党,1999.0,,,8,5,96510158.0,
yearly,自由党,2001.0,,,1,1,11992160.0,
yearly,自由党,2003.0,,,13,12,157497666.0,
yearly,自由党,2007.0,,,1,1,12229788.0,
yearly,自由党,2017.0,,,1,1,11993110.0,
yearly,自由民主党,1998.0,,,2,1,17670000.0,
yearly,自由民主党,1999.0,,,365,30,4376831224.0,
yearly,自由民主党,2000.0,,,23,2,292350060.0,
yearly,自由民主党,2001.0,,,43,5,509618980.0,
yearly,自由民主党,2002.0,,,4,3,47233200.0,
yearly,自由民主党,2003.0,,,473,50,5727657788.0,
yearly,自由民主党,2004.0,,,45,4,554987580.0,
yearly,自由民主党,2005.0,,,37,9,435419830.0,
