政党,年,都道府県,市区町村,座席数,期間総額（1人）,月額,推計総額,在任月数,期末手当回数（3月）,期末手当回数（6月）,期末手当回数（12月）
公明党,2015,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
日本共産党,2015,北海道,函館市,4,33558000.0,510000.0,134232000.0,48,4,4,4
無所属,2015,北海道,函館市,17,33558000.0,510000.0,570486000.0,48,4,4,4
公明党,2019,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
日本共産党,2019,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
無所属,2019,北海道,函館市,16,33558000.0,510000.0,536928000.0,48,4,4,4
公明党,2023,北海道,函館市,5,33558000.0,510000.0,167790000.0,48,4,4,4
新社会党,2023,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
日本共産党,2023,北海道,函館市,1,33558000.0,510000.0,33558000.0,48,4,4,4
無所属,2023,北海道,函館市,12,33558000.0,510000.0,402696000.0,48,4,4,4
日本共産党,2003,北海道,旭川市,4,33578000.0,515000.0,134312000.0,48,4,4,4
無所属,2003,北海道,旭川市,29,33578000.0,515000.0,973762000.0,48,4,4,4
日本共産党,2007,北海道,旭川市,4,33578000.0,515000.0,134312000.0,48,4,4,4
無所属,2007,北海道,旭川市,30,33578000.0,515000.0,1007340000.0,48,4,4,4
日本共産党,2011,北海道,旭川市,4,33578000.0,515000.0,134312000.0,48,4,4,4
無所属,2011,北海道,旭川市,30,33578000.0,515000.0,1007340000.0,48,4,4,4
日本共産党,2015,北海道,旭川市,1,33578000.0,515000.0,33578000.0,48,4,4,4
無所属,2015,北海道,旭川市,31,33578000.0,515000.0,1040918000.0,48,4,4,4
民主党,2019,北海道,旭川市,1,20432625.0,515000.0,20432625.0,29,2,3,2
無所属,2019,北海道,旭川市,30,20432625.0,515000.0,612978750.0,29,2,3,2
無所属,2021,北海道,旭川市,2,13145375.0,515000.0,26290750.0,19,2,1,2
公明党,2023,北海道,旭川市,1,33578000.0,515000.0,33578000.0,48,4,4,4
日本共産党,2023,北海道,旭川市,1,33578000.0,515000.0,33578000.0,48,4,4,4
無所属,2023,北海道,旭川市,28,33578000.0,515000.0,940184000.0,48,4,4,4
無所属,2004,北海道,札幌市,2,88356400.00000001,860000.0,176712800.00000003,81,7,7,6
無所属,2010,北海道,札幌市,1,52838400.0,860000.0,52838400.0,48,4,4,4
無所属,2001,千葉県,千葉市,1,106048250.0,770000.0,106048250.0,100,8,9,8
無所属,2009,千葉県,千葉市,1,50666000.0,770000.0,50666000.0,48,4,4,4
公明党,1999,千葉県,柏市,3,37966600.0,577000.0,113899800.0,48,4,4,4
日本共産党,1999,千葉県,柏市,3,37966600.0,577000.0,113899800.0,48,4,4,4
民主党,1999,千葉県,柏市,1,37966600.0,577000.0,37966600.0,48,4,4,4
無所属,1999,千葉県,柏市,22,37966600.0,577000.0,835265200.0,48,4,4,4
立憲民主党,1999,千葉県,柏市,3,37966600.0,577000.0,113899800.0,48,4,4,4
自由民主党,1999,千葉県,柏市,1,37966600.0,577000.0,37966600.0,48,4,4,4
日本共産党,2003,千葉県,柏市,1,37966600.0,577000.0,37966600.0,48,4,4,4
無所属,2003,千葉県,柏市,29,37966600.0,577000.0,1101031400.0,48,4,4,4
無所属,2007,千葉県,柏市,32,37966600.0,577000.0,1214931200.0,48,4,4,4
無所属,2011,千葉県,柏市,29,37966600.0,577000.0,1101031400.0,48,4,4,4
公明党,2015,千葉県,柏市,1,37966600.0,577000.0,37966600.0,48,4,4,4
日本共産党,2015,千葉県,柏市,1,37966600.0,577000.0,37966600.0,48,4,4,4
無所属,2015,千葉県,柏市,31,37966600.0,577000.0,1176964600.0,48,4,4,4
公明党,2019,千葉県,柏市,3,37966600.0,577000.0,113899800.0,48,4,4,4
日本共産党,2019,千葉県,柏市,2,37966600.0,577000.0,75933200.0,48,4,4,4
無所属,2019,千葉県,柏市,27,37966600.0,577000.0,1025098200.0,48,4,4,4
無所属,2023,千葉県,柏市,32,37966600.0,577000.0,1214931200.0,48,4,4,4
日本共産党,2003,千葉県,船橋市,2,40335400.0,613000.0,80670800.0,48,4,4,4
無所属,2003,千葉県,船橋市,33,40335400.0,613000.0,1331068200.0,48,4,4,4
日本共産党,2007,千葉県,船橋市,3,40335400.0,613000.0,121006200.0,48,4,4,4
無所属,2007,千葉県,船橋市,40,40335400.0,613000.0,1613416000.0,48,4,4,4
立憲民主党,2007,千葉県,船橋市,1,40335400.0,613000.0,40335400.0,48,4,4,4
日本共産党,2011,千葉県,船橋市,1,40335400.0,613000.0,40335400.0,48,4,4,4
無所属,2011,千葉県,船橋市,41,40335400.0,613000.0,1653751400.0,48,4,4,4
公明党,2015,千葉県,船橋市,1,21393700.0,613000.0,21393700.0,26,2,2,2
無所属,2015,千葉県,船橋市,44,21393700.0,613000.0,941322800.0,26,2,2,2
無所属,2017,千葉県,船橋市,1,18941700.0,613000.0,18941700.0,22,2,2,2
公明党,2019,千葉県,船橋市,3,21393700.0,613000.0,64181100.0,26,2,2,2
日本共産党,2019,千葉県,船橋市,3,21393700.0,613000.0,64181100.0,26,2,2,2
民主党,2019,千葉県,船橋市,2,21393700.0,613000.0,42787400.0,26,2,2,2
無所属,2019,千葉県,船橋市,32,21393700.0,613000.0,684598400.0,26,2,2,2
立憲民主党,2019,千葉県,船橋市,1,21393700.0,613000.0,21393700.0,26,2,2,2
無所属,2021,千葉県,船橋市,1,18941700.0,613000.0,18941700.0,22,2,2,2
公明党,2023,千葉県,船橋市,1,40335400.0,613000.0,40335400.0,48,4,4,4
日本共産党,2023,千葉県,船橋市,3,40335400.0,613000.0,121006200.0,48,4,4,4
無所属,2023,千葉県,船橋市,37,40335400.0,613000.0,1492409800.0,48,4,4,4
公明党,2003,和歌山県,和歌山市,5,43428000.0,660000.0,217140000.0,48,4,4,4
日本共産党,2003,和歌山県,和歌山市,2,43428000.0,660000.0,86856000.0,48,4,4,4
民主党,2003,和歌山県,和歌山市,12,43428000.0,660000.0,521136000.0,48,4,4,4
無所属,2003,和歌山県,和歌山市,9,43428000.0,660000.0,390852000.0,48,4,4,4
自由民主党,2003,和歌山県,和歌山市,9,43428000.0,660000.0,390852000.0,48,4,4,4
公明党,2007,和歌山県,和歌山市,5,36613500.0,660000.0,183067500.0,40,3,4,3
新党大地,2007,和歌山県,和歌山市,1,36613500.0,660000.0,36613500.0,40,3,4,3
日本共産党,2007,和歌山県,和歌山市,6,36613500.0,660000.0,219681000.0,40,3,4,3
民主党,2007,和歌山県,和歌山市,6,36613500.0,660000.0,219681000.0,40,3,4,3
無所属,2007,和歌山県,和歌山市,12,36613500.0,660000.0,439362000.0,40,3,4,3
自由民主党,2007,和歌山県,和歌山市,6,36613500.0,660000.0,219681000.0,40,3,4,3
無所属,2010,和歌山県,和歌山市,2,6814499.999999999,660000.0,13628999.999999998,8,1,0,1
公明党,2011,和歌山県,和歌山市,4,36613500.0,660000.0,146454000.0,40,3,4,3
新党大地,2011,和歌山県,和歌山市,2,36613500.0,660000.0,73227000.0,40,3,4,3
日本共産党,2011,和歌山県,和歌山市,4,36613500.0,660000.0,146454000.0,40,3,4,3
民主党,2011,和歌山県,和歌山市,3,36613500.0,660000.0,109840500.0,40,3,4,3
無所属,2011,和歌山県,和歌山市,11,36613500.0,660000.0,402748500.0,40,3,4,3
立憲民主党,2011,和歌山県,和歌山市,1,36613500.0,660000.0,36613500.0,40,3,4,3
自由民主党,2011,和歌山県,和歌山市,10,36613500.0,660000.0,366135000.0,40,3,4,3
日本共産党,2014,和歌山県,和歌山市,1,6814499.999999999,660000.0,6814499.999999999,8,1,0,1
無所属,2014,和歌山県,和歌山市,1,6814499.999999999,660000.0,6814499.999999999,8,1,0,1
公明党,2015,和歌山県,和歌山市,9,43428000.0,660000.0,390852000.0,48,4,4,4
日本共産党,2015,和歌山県,和歌山市,5,43428000.0,660000.0,217140000.0,48,4,4,4
無所属,2015,和歌山県,和歌山市,7,43428000.0,660000.0,303996000.0,48,4,4,4
社会民主党,2015,和歌山県,和歌山市,1,43428000.0,660000.0,43428000.0,48,4,4,4
立憲民主党,2015,和歌山県,和歌山市,4,43428000.0,660000.0,173712000.0,48,4,4,4
自由民主党,2015,和歌山県,和歌山市,8,43428000.0,660000.0,347424000.0,48,4,4,4
参政党,2019,和歌山県,和歌山市,1,36613500.0,660000.0,36613500.0,40,3,4,3
日本共産党,2019,和歌山県,和歌山市,3,36613500.0,660000.0,109840500.0,40,3,4,3
無所属,2019,和歌山県,和歌山市,15,36613500.0,660000.0,549202500.0,40,3,4,3
立憲民主党,2019,和歌山県,和歌山市,2,36613500.0,660000.0,73227000.0,40,3,4,3
自由民主党,2019,和歌山県,和歌山市,1,36613500.0,660000.0,36613500.0,40,3,4,3
日本共産党,2022,和歌山県,和歌山市,1,6814499.999999999,660000.0,6814499.999999999,8,1,0,1
無所属,2022,和歌山県,和歌山市,1,6814499.999999999,660000.0,6814499.999999999,8,1,0,1
公明党,2023,和歌山県,和歌山市,4,43428000.0,660000.0,173712000.0,48,4,4,4
日本共産党,2023,和歌山県,和歌山市,5,43428000.0,660000.0,217140000.0,48,4,4,4
民主党,2023,和歌山県,和歌山市,4,43428000.0,660000.0,173712000.0,48,4,4,4
無所属,2023,和歌山県,和歌山市,22,43428000.0,660000.0,955416000.0,48,4,4,4
公明党,2004,埼玉県,さいたま市,2,5431110.0,807000.0,10862220.0,5,1,0,1
自由民主党,2005,埼玉県,さいたま市,1,98841360.0,807000.0,98841360.0,96,8,8,8
日本共産党,2013,埼玉県,さいたま市,1,49420680.0,807000.0,49420680.0,48,4,4,4
公明党,1999,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
日本共産党,1999,埼玉県,川口市,5,38998800.0,621000.0,194994000.0,48,4,4,4
民主党,1999,埼玉県,川口市,2,38998800.0,621000.0,77997600.0,48,4,4,4
無所属,1999,埼玉県,川口市,17,38998800.0,621000.0,662979600.0,48,4,4,4
自由民主党,1999,埼玉県,川口市,2,38998800.0,621000.0,77997600.0,48,4,4,4
公明党,2003,埼玉県,川口市,8,20120400.0,621000.0,160963200.0,25,2,2,2
市民ネットワーク千葉県,2003,埼玉県,川口市,1,20120400.0,621000.0,20120400.0,25,2,2,2
日本共産党,2003,埼玉県,川口市,5,20120400.0,621000.0,100602000.0,25,2,2,2
無所属,2003,埼玉県,川口市,18,20120400.0,621000.0,362167200.0,25,2,2,2
社会民主党,2003,埼玉県,川口市,1,20120400.0,621000.0,20120400.0,25,2,2,2
自由民主党,2003,埼玉県,川口市,2,20120400.0,621000.0,40240800.0,25,2,2,2
公明党,2005,埼玉県,川口市,1,18878400.0,621000.0,18878400.0,23,2,2,2
みんなの党,2007,埼玉県,川口市,2,20120400.0,621000.0,40240800.0,25,2,2,2
公明党,2007,埼玉県,川口市,8,20120400.0,621000.0,160963200.0,25,2,2,2
市民ネットワーク千葉県,2007,埼玉県,川口市,1,20120400.0,621000.0,20120400.0,25,2,2,2
民主党,2007,埼玉県,川口市,2,20120400.0,621000.0,40240800.0,25,2,2,2
無所属,2007,埼玉県,川口市,17,20120400.0,621000.0,342046800.0,25,2,2,2
自由民主党,2007,埼玉県,川口市,2,20120400.0,621000.0,40240800.0,25,2,2,2
無所属,2009,埼玉県,川口市,1,18878400.0,621000.0,18878400.0,23,2,2,2
公明党,2011,埼玉県,川口市,3,28007100.0,621000.0,84021300.0,34,2,3,3
日本共産党,2011,埼玉県,川口市,9,28007100.0,621000.0,252063900.0,34,2,3,3
民主党,2011,埼玉県,川口市,1,28007100.0,621000.0,28007100.0,34,2,3,3
無所属,2011,埼玉県,川口市,12,28007100.0,621000.0,336085200.0,34,2,3,3
社会民主党,2011,埼玉県,川口市,1,28007100.0,621000.0,28007100.0,34,2,3,3
自由民主党,2011,埼玉県,川口市,4,28007100.0,621000.0,112028400.0,34,2,3,3
自由民主党,2014,埼玉県,川口市,1,10991700.0,621000.0,10991700.0,14,2,1,1
公明党,2015,埼玉県,川口市,5,38998800.0,621000.0,194994000.0,48,4,4,4
日本共産党,2015,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
民主党,2015,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
無所属,2015,埼玉県,川口市,12,38998800.0,621000.0,467985600.0,48,4,4,4
社会民主党,2015,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
立憲民主党,2015,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
維新の党,2015,埼玉県,川口市,2,38998800.0,621000.0,77997600.0,48,4,4,4
自由民主党,2015,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
NHKから国民を守る党,2019,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
公明党,2019,埼玉県,川口市,8,38998800.0,621000.0,311990400.0,48,4,4,4
日本共産党,2019,埼玉県,川口市,5,38998800.0,621000.0,194994000.0,48,4,4,4
無所属,2019,埼玉県,川口市,18,38998800.0,621000.0,701978400.0,48,4,4,4
社会民主党,2019,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
自由民主党,2019,埼玉県,川口市,7,38998800.0,621000.0,272991600.0,48,4,4,4
公明党,2023,埼玉県,川口市,5,38998800.0,621000.0,194994000.0,48,4,4,4
国民民主党,2023,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
日本共産党,2023,埼玉県,川口市,1,38998800.0,621000.0,38998800.0,48,4,4,4
日本維新の会,2023,埼玉県,川口市,2,38998800.0,621000.0,77997600.0,48,4,4,4
無所属,2023,埼玉県,川口市,11,38998800.0,621000.0,428986800.0,48,4,4,4
立憲民主党,2023,埼玉県,川口市,3,38998800.0,621000.0,116996400.0,48,4,4,4
自由民主党,2023,埼玉県,川口市,7,38998800.0,621000.0,272991600.0,48,4,4,4
公明党,2003,埼玉県,川越市,2,37900800.0,576000.0,75801600.0,48,4,4,4
日本共産党,2003,埼玉県,川越市,2,37900800.0,576000.0,75801600.0,48,4,4,4
無所属,2003,埼玉県,川越市,27,37900800.0,576000.0,1023321600.0,48,4,4,4
公明党,2007,埼玉県,川越市,3,17222400.0,576000.0,51667200.0,21,1,2,2
日本共産党,2007,埼玉県,川越市,1,17222400.0,576000.0,17222400.0,21,1,2,2
無所属,2007,埼玉県,川越市,30,17222400.0,576000.0,516672000.0,21,1,2,2
社会民主党,2007,埼玉県,川越市,2,17222400.0,576000.0,34444800.0,21,1,2,2
無所属,2009,埼玉県,川越市,1,20678400.0,576000.0,20678400.0,27,3,2,2
公明党,2011,埼玉県,川越市,3,37900800.0,576000.0,113702400.0,48,4,4,4
日本共産党,2011,埼玉県,川越市,2,37900800.0,576000.0,75801600.0,48,4,4,4
民主党,2011,埼玉県,川越市,1,37900800.0,576000.0,37900800.0,48,4,4,4
無所属,2011,埼玉県,川越市,23,37900800.0,576000.0,871718400.0,48,4,4,4
社会民主党,2011,埼玉県,川越市,1,37900800.0,576000.0,37900800.0,48,4,4,4
公明党,2015,埼玉県,川越市,3,17222400.0,576000.0,51667200.0,21,1,2,2
無所属,2015,埼玉県,川越市,17,17222400.0,576000.0,292780800.0,21,1,2,2
無所属,2017,埼玉県,川越市,1,20678400.0,576000.0,20678400.0,27,3,2,2
公明党,2019,埼玉県,川越市,3,17222400.0,576000.0,51667200.0,21,1,2,2
日本共産党,2019,埼玉県,川越市,3,17222400.0,576000.0,51667200.0,21,1,2,2
無所属,2019,埼玉県,川越市,20,17222400.0,576000.0,344448000.0,21,1,2,2
社会民主党,2019,埼玉県,川越市,1,17222400.0,576000.0,17222400.0,21,1,2,2
自由民主党,2019,埼玉県,川越市,1,17222400.0,576000.0,17222400.0,21,1,2,2
日本共産党,2021,埼玉県,川越市,1,20678400.0,576000.0,20678400.0,27,3,2,2
公明党,2023,埼玉県,川越市,3,37900800.0,576000.0,113702400.0,48,4,4,4
日本共産党,2023,埼玉県,川越市,2,37900800.0,576000.0,75801600.0,48,4,4,4
無所属,2023,埼玉県,川越市,26,37900800.0,576000.0,985420800.0,48,4,4,4
社会民主党,2023,埼玉県,川越市,1,37900800.0,576000.0,37900800.0,48,4,4,4
自由民主党,2023,埼玉県,川越市,1,37900800.0,576000.0,37900800.0,48,4,4,4
公明党,1999,埼玉県,越谷市,2,37835000.0,575000.0,75670000.0,48,4,4,4
日本共産党,1999,埼玉県,越谷市,2,37835000.0,575000.0,75670000.0,48,4,4,4
無所属,1999,埼玉県,越谷市,23,37835000.0,575000.0,870205000.0,48,4,4,4
公明党,2003,埼玉県,越谷市,2,23589375.0,575000.0,47178750.0,30,2,3,2
日本共産党,2003,埼玉県,越谷市,1,23589375.0,575000.0,23589375.0,30,2,3,2
無所属,2003,埼玉県,越谷市,16,23589375.0,575000.0,377430000.0,30,2,3,2
日本共産党,2005,埼玉県,越谷市,1,14245625.0,575000.0,14245625.0,18,2,1,2
無所属,2005,埼玉県,越谷市,2,14245625.0,575000.0,28491250.0,18,2,1,2
公明党,2007,埼玉県,越谷市,2,37835000.0,575000.0,75670000.0,48,4,4,4
市民ネットワーク,2007,埼玉県,越谷市,1,37835000.0,575000.0,37835000.0,48,4,4,4
日本共産党,2007,埼玉県,越谷市,3,37835000.0,575000.0,113505000.0,48,4,4,4
無所属,2007,埼玉県,越谷市,25,37835000.0,575000.0,945875000.0,48,4,4,4
公明党,2011,埼玉県,越谷市,2,37835000.0,575000.0,75670000.0,48,4,4,4
日本共産党,2011,埼玉県,越谷市,2,37835000.0,575000.0,75670000.0,48,4,4,4
無所属,2011,埼玉県,越谷市,22,37835000.0,575000.0,832370000.0,48,4,4,4
日本共産党,2015,埼玉県,越谷市,1,61424375.0,575000.0,61424375.0,78,6,7,6
無所属,2015,埼玉県,越谷市,7,61424375.0,575000.0,429970625.0,78,6,7,6
日本共産党,2021,埼玉県,越谷市,1,37835000.0,575000.0,37835000.0,48,4,4,4
無所属,2021,埼玉県,越谷市,3,37835000.0,575000.0,113505000.0,48,4,4,4
つばさの党,2001,大分県,大分市,1,78766080.0,641000.0,78766080.0,96,8,8,8
公明党,2001,大分県,大分市,5,78766080.0,641000.0,393830400.0,96,8,8,8
国民民主党,2001,大分県,大分市,1,78766080.0,641000.0,78766080.0,96,8,8,8
市民ネットワーク・のだ,2001,大分県,大分市,1,78766080.0,641000.0,78766080.0,96,8,8,8
日本共産党,2001,大分県,大分市,2,78766080.0,641000.0,157532160.0,96,8,8,8
無所属,2001,大分県,大分市,18,78766080.0,641000.0,1417789440.0,96,8,8,8
立憲民主党,2001,大分県,大分市,2,78766080.0,641000.0,157532160.0,96,8,8,8
自由民主党,2001,大分県,大分市,2,78766080.0,641000.0,157532160.0,96,8,8,8
無所属,2009,大分県,大分市,3,20973520.0,641000.0,62920560.0,26,3,2,2
無所属,2011,大分県,大分市,1,18409520.0,641000.0,18409520.0,22,1,2,2
公明党,2013,大分県,大分市,6,39383040.0,641000.0,236298240.0,48,4,4,4
新社会党,2013,大分県,大分市,2,39383040.0,641000.0,78766080.0,48,4,4,4
日本共産党,2013,大分県,大分市,3,39383040.0,641000.0,118149120.0,48,4,4,4
民主党,2013,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
無所属,2013,大分県,大分市,25,39383040.0,641000.0,984576000.0,48,4,4,4
社会民主党,2013,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
自由民主党,2013,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
公明党,2017,大分県,大分市,3,39383040.0,641000.0,118149120.0,48,4,4,4
日本共産党,2017,大分県,大分市,5,39383040.0,641000.0,196915200.0,48,4,4,4
民主党,2017,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
無所属,2017,大分県,大分市,27,39383040.0,641000.0,1063342080.0,48,4,4,4
社会民主党,2017,大分県,大分市,2,39383040.0,641000.0,78766080.0,48,4,4,4
自由民主党,2017,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
公明党,2021,大分県,大分市,4,20973520.0,641000.0,83894080.0,26,3,2,2
新社会党,2021,大分県,大分市,1,20973520.0,641000.0,20973520.0,26,3,2,2
日本共産党,2021,大分県,大分市,3,20973520.0,641000.0,62920560.0,26,3,2,2
無所属,2021,大分県,大分市,28,20973520.0,641000.0,587258560.0,26,3,2,2
社会民主党,2021,大分県,大分市,1,20973520.0,641000.0,20973520.0,26,3,2,2
無所属,2023,大分県,大分市,1,39383040.0,641000.0,39383040.0,48,4,4,4
日本共産党,2003,大阪府,八尾市,5,39772000.0,610000.0,198860000.0,48,4,4,4
無所属,2003,大阪府,八尾市,23,39772000.0,610000.0,914756000.0,48,4,4,4
日本共産党,2007,大阪府,八尾市,2,39772000.0,610000.0,79544000.0,48,4,4,4
無所属,2007,大阪府,八尾市,20,39772000.0,610000.0,795440000.0,48,4,4,4
